sie się
posrednikow pośredników
rozklad rozkład
tytulow tytułów
wstepne wstępne
dlonia dłonią
naklada nakłada
historia historią
towarzyszyc towarzyszyć
zamowien zamówień
ktoz któż
obowiazujacego obowiązującego
slynnego słynnego
turysci turyści
ciemnosci ciemności
unikac unikać
radoscia radością
ruchow ruchów
byles byłeś
istote istotę
przygotowuja przygotowują
doradcow doradców
probowac próbować
uzywanie używanie
obserwowac obserwować
staneli stanęli
wstepnych wstępnych
zaproponowac zaproponować
prowadzac prowadząc
nadac nadać
glupi głupi
popatrzyl popatrzył
postawila postawiła
wroclawskiego wrocławskiego
dawalo dawało
wiedziala wiedziała
atrakcja atrakcją
ogolnego ogólnego
wlascicielka właścicielka
wykonuja wykonują
obowiazujacym obowiązującym
szly szły
ciagnal ciągnął
kontrola kontrolą
ogolnopolskiego ogólnopolskiego
pielegniarki pielęgniarki
niezaleznych niezależnych
sadze sądzę
przeszkod przeszkód
kara karą
wiesc wieść
strzelcow strzelców
budzetowych budżetowych
stosujac stosując
wystepowania występowania
zwyciestwie zwycięstwie
kosciolem kościołem
zastepuje zastępuje
zewnetrznych zewnętrznych
czeste częste
zjawil zjawił
inzynier inżynier
uczestnicza uczestniczą
informacja informacją
zagrozeniem zagrożeniem
dazenie dążenie
minute minutę
mowca mówcą
seniorow seniorów
czestochowie częstochowie
osobowosc osobowość
dzialajacy działający
nieslychanie niesłychanie
wezwal wezwał
zaswiadczenie zaświadczenie
mieszkala mieszkała
mow mów
dziecinstwa dzieciństwa
calymi całymi
inicjatywe inicjatywę
rozwazania rozważania
zadbac zadbać
zglosilo zgłosiło
polozyc położyć
podjete podjęte
troszke troszkę
odpowiedzialnoscia odpowiedzialnością
zglasza zgłasza
istnial istniał
mieszkac mieszkać
padla padła
zajely zajęły
mozg mózg
odnosza odnoszą
sprzedal sprzedał
synow synów
pilce piłce
stojac stojąc
prog próg
ogladajac oglądając
urzedem urzędem
wplaty wpłaty
fanow fanów
spolecznosc społeczność
wreczyl wręczył
posrednio pośrednio
podejscia podejścia
grajacy grający
kawe kawę
potezne potężne
oprzec oprzeć
przeksztalcen przekształceń
przyjazn przyjaźń
srednim średnim
zgodzila zgodziła
zwyklego zwykłego
umozliwic umożliwić
wladzom władzom
powstancow powstańców
bole bóle
wycofal wycofał
umowa umową
biore biorę
ujeciu ujęciu
oczekuja oczekują
opowiadac opowiadać
przynaleznosci przynależności
popularnosci popularności
laske łaskę
czytalem czytałem
konfliktow konfliktów
mase masę
pieniedzmi pieniędzmi
wzgledy względy
wewnetrzny wewnętrzny
jade jadę
zazadal zażądał
ksztaltowanie kształtowanie
wywolal wywołał
numerow numerów
rozwazan rozważań
kosztowal kosztował
mily miły
mile miłe
obejmuja obejmują
leb łeb
lukasza łukasza
nizszy niższy
wystapily wystąpiły
dusze duszę
niezdolnosci niezdolności
czystosci czystości
iloscia ilością
nalezace należące
wykladni wykładni
litrow litrów
zmarlych zmarłych
bezwzgledna bezwzględna
niecale niecałe
sluchal słuchał
wspomnien wspomnień
dalem dałem
mowisz mówisz
ptakow ptaków
oddalil oddalił
budowa budową
poczatki początki
dziewczyne dziewczynę
przyjechac przyjechać
ubiegly ubiegły
doswiadczeniem doświadczeniem
nagroda nagrodą
papierosow papierosów
zlotym złotym
baze bazę
zdarzaly zdarzały
podobienstwo podobieństwo
towarzyszyl towarzyszył
pozyczek pożyczek
pozostana pozostaną
owa ową
tematow tematów
bezwzglednie bezwzględnie
biezace bieżące
wykorzystuja wykorzystują
funkcjonuja funkcjonują
zaplacil zapłacił
prowadzily prowadziły
zwykla zwykła
sasiedztwie sąsiedztwie
wloszech włoszech
wyniesc wynieść
posrednictwa pośrednictwa
poznym późnym
skarge skargę
polegajacej polegającej
zadluzenie zadłużenie
zarzadza zarządza
obciazenia obciążenia
zgola zgoła
lokatorow lokatorów
posiadajacych posiadających
obrone obronę
doprowadzily doprowadziły
zarzadzenie zarządzenie
formuly formuły
uniemozliwia uniemożliwia
staz staż
wylaczenie wyłączenie
noz nóż
pore porę
siedzac siedząc
wygladaly wyglądały
rada radą
stwierdzila stwierdziła
pomyslalem pomyślałem
wnosza wnoszą
poprosic poprosić
podkreslil podkreślił
wspomnial wspomniał
wzruszyl wzruszył
zloto złoto
czestochowa częstochowa
strazakow strażaków
wycieczke wycieczkę
powtorzyc powtórzyć
powyzszych powyższych
nazywac nazywać
potezny potężny
rafala rafała
zdaje zdaję
podjeta podjęta
wiceprzewodniczacy wiceprzewodniczący
pozostawiajac pozostawiając
panskie pańskie
przywiozl przywiózł
czwarta czwartą
swiete święte
waznej ważnej
rzadowi rządowi
pulku pułku
spadly spadły
czestotliwosci częstotliwości
czynia czynią
efektywnosci efektywności
slucha słucha
wplywac wpływać
kosztowalo kosztowało
wiesci wieści
przywrocic przywrócić
pracowalem pracowałem
zmarla zmarła
zamkniecie zamknięcie
osiagnela osiągnęła
przyjmujac przyjmując
nauczyl nauczył
boj bój
ksiedze księdze
ktoryms którymś
skladniki składniki
stanowiace stanowiące
szkolen szkoleń
powrocic powrócić
rowno równo
sluzace służące
zyciowych życiowych
skrzyzowania skrzyżowania
wyplat wypłat
zamienic zamienić
bedacej będącej
odbior odbiór
podejmuja podejmują
siedze siedzę
zabrala zabrała
marzen marzeń
agencje agencję
mieszkajacy mieszkający
stalem stałem
trwale trwałe
wlozyc włożyć
serwisow serwisów
slaski śląski
strategie strategię
zagraza zagraża
krzyzem krzyżem
czolowych czołowych
czynnosc czynność
szostej szóstej
porazka porażka
organizowac organizować
cialem ciałem
miesnie mięśnie
sztuka sztuką
niezwykle niezwykłe
wplat wpłat
sprzedaja sprzedają
uzupelnienie uzupełnienie
gleboki głęboki
przecietny przeciętny
typow typów
ksiega księga
panskiej pańskiej
sasiad sąsiad
uczestniczylo uczestniczyło
zolnierza żołnierza
jadac jadąc
nozem nożem
operatorow operatorów
wskazniki wskaźniki
pisalem pisałem
znana znaną
wypowiedzial wypowiedział
ogladal oglądał
placowce placówce
poruszac poruszać
zebral zebrał
sciana ścianą
zasieg zasięg
rowni równi
bialka białka
jada jadą
poslem posłem
obowiazujacej obowiązującej
prawidlowego prawidłowego
panstwowy państwowy
pisala pisała
powazna poważną
tradycja tradycją
wychodzic wychodzić
zaprezentowal zaprezentował
istnialy istniały
glosowali głosowali
wybuchla wybuchła
wyklad wykład
wyrazny wyraźny
dowiedziala dowiedziała
inwestycje inwestycję
przyjemnosci przyjemności
obawiaja obawiają
przystapienia przystąpienia
wybierajac wybierając
zmusic zmusić
gornictwa górnictwa
ujrzal ujrzał
waclaw wacław
wspierac wspierać
czynow czynów
pradu prądu
tychze tychże
konkursow konkursów
gwiazda gwiazdą
ogolem ogółem
kosztuja kosztują
majaca mająca
doprowadzila doprowadziła
ogolny ogólny
rozmawiala rozmawiała
zgloszono zgłoszono
zwyciezca zwycięzca
kosztowala kosztowała
wstepnie wstępnie
korzystajacych korzystających
menedzer menedżer
wybudowac wybudować
szepnal szepnął
tansze tańsze
wyjsciem wyjściem
wywolala wywołała
szybkosc szybkość
duma dumą
przeksztalcenia przekształcenia
majacej mającej
stawiaja stawiają
jednostke jednostkę
pilkarskiej piłkarskiej
pomagal pomagał
pozwalajace pozwalające
przesluchanie przesłuchanie
zlosc złość
zwiazkowcy związkowcy
dokumentacje dokumentację
umozliwiaja umożliwiają
glebokim głębokim
ksiezy księży
wiosne wiosnę
wspanialych wspaniałych
zwolnien zwolnień
kupila kupiła
smiech śmiech
kasacje kasację
dzwieki dźwięki
tajemnica tajemnicą
gornikow górników
falszywe fałszywe
nakazal nakazał
spelnienie spełnienie
stosuja stosują
zglosila zgłosiła
dostosowac dostosować
malymi małymi
prosby prośby
zarabiac zarabiać
kawal kawał
sluchaj słuchaj
chetni chętni
utrata utratą
krawedzi krawędzi
pozostawic pozostawić
krajowa krajową
tozsamosc tożsamość
ms mś
pozniejszych późniejszych
atakow ataków
wegiel węgiel
mieczyslawa mieczysława
panowala panowała
wzialem wziąłem
zainteresowan zainteresowań
dochodzic dochodzić
zawierajacy zawierający
lodzki łódzki
przeslanie przesłanie
znala znała
kase kasę
sredni średni
uroczyscie uroczyście
wspolczesnym współczesnym
malysz małysz
samorzadowe samorządowe
sformulowanie sformułowanie
uzyciem użyciem
osiagniec osiągnięć
pelnia pełnią
pomoga pomogą
spotkalismy spotkaliśmy
slaskim śląskim
przygladal przyglądał
idee ideę
powolac powołać
zlodziej złodziej
opierajac opierając
opowiadala opowiadała
wine winę
kolezanka koleżanka
polegala polegała
chlop chłop
starala starała
tracic tracić
wzrosnie wzrośnie
pozwolilo pozwoliło
zamowienie zamówienie
podatnikow podatników
realizacja realizacją
swietlicy świetlicy
kanalu kanału
znaczacy znaczący
powtarzal powtarzał
przyjmuja przyjmują
slaby słaby
sredniego średniego
weszly weszły
slyszec słyszeć
leku lęku
spedza spędza
pokolen pokoleń
rosnace rosnące
stojacego stojącego
objela objęła
uzytkowanie użytkowanie
wnetrzu wnętrzu
dolaczyc dołączyć
zajmujacy zajmujący
mielibysmy mielibyśmy
polnoc północ
potrzebowal potrzebował
nadzieja nadzieją
parametrow parametrów
powstalych powstałych
naukowcow naukowców
zadal zadał
czesciach częściach
niezbedny niezbędny
opowiadaja opowiadają
piata piąta
swobode swobodę
podajac podając
reprezentantow reprezentantów
zobowiazuje zobowiązuje
rowna równa
pokazala pokazała
rozpoznac rozpoznać
uslyszelismy usłyszeliśmy
radza radzą
poczuc poczuć
uwzglednic uwzględnić
kieruja kierują
sadowej sądowej
stojacych stojących
sprawnosc sprawność
fragmentow fragmentów
operacje operację
wyjezdza wyjeżdża
przeczytalem przeczytałem
tyl tył
wspolczesne współczesne
niezalezne niezależne
piate piąte
rzadowych rządowych
przekonal przekonał
dlugiego długiego
szczegolowy szczegółowy
zamknieta zamknięta
zabojstwa zabójstwa
ostateczna ostateczną
sledczej śledczej
kardynal kardynał
pienieznych pieniężnych
waznosci ważności
moglabym mogłabym
powolano powołano
silami siłami
stwierdzic stwierdzić
zarzucil zarzucił
znaczace znaczące
czola czoła
dolu dołu
przedsiebiorczosci przedsiębiorczości
ilekroc ilekroć
wlodzimierza włodzimierza
wywalczyl wywalczył
pielegniarek pielęgniarek
podawac podawać
rosly rosły
zalezec zależeć
czynic czynić
zewnetrzne zewnętrzne
kleski klęski
wojewodztw województw
calkowite całkowite
chlopaka chłopaka
przedsiewziec przedsięwzięć
wygladu wyglądu
wypowiedziec wypowiedzieć
zostalismy zostaliśmy
ilez ileż
predkoscia prędkością
przegladu przeglądu
swieze świeże
zlapac złapać
zadzwonic zadzwonić
nizszych niższych
wewnetrzna wewnętrzną
domagac domagać
wymagalo wymagało
boleslawa bolesława
lesnych leśnych
kolejnosc kolejność
czeslawa czesława
krwia krwią
zabezpieczen zabezpieczeń
zada żąda
kontraktow kontraktów
zapowiadaja zapowiadają
swiadkami świadkami
wniesc wnieść
wspaniala wspaniała
placenia płacenia
naklady nakłady
usluga usługa
przybylo przybyło
miedzynarodowa międzynarodowa
mroz mróz
dzialala działała
polozonych położonych
dokonala dokonała
doskonale doskonałe
relacje relację
pomyslem pomysłem
znajdowalo znajdowało
calkowitego całkowitego
doskonaly doskonały
koncertow koncertów
nosza noszą
zachecic zachęcić
grozne groźne
odrebne odrębne
przezycia przeżycia
zabawe zabawę
pytaja pytają
unie unię
zawrzec zawrzeć
dabrowski dąbrowski
polozony położony
przynaleznosc przynależność
calkowita całkowitą
spiewa śpiewa
zwana zwaną
chodz chodź
zlozona złożona
szescdziesiat sześćdziesiąt
tajemnice tajemnicę
zapowiedz zapowiedź
glebokiej głębokiej
poprawil poprawił
wyjechala wyjechała
zwracajac zwracając
wypelnia wypełnia
mowilam mówiłam
nalezaly należały
przywrocenia przywrócenia
ulegaja ulegają
rzezby rzeźby
slabosci słabości
falszywych fałszywych
msze mszę
zagrozone zagrożone
zydowskiej żydowskiej
zdziwil zdziwił
poswiecona poświęcona
przeszly przeszły
studiowal studiował
bic bić
nieobecnosci nieobecności
zlikwidowac zlikwidować
targow targów
wspolpracowac współpracować
doskonalym doskonałym
regionow regionów
zdazyla zdążyła
dzialke działkę
przykladowo przykładowo
stroj strój
nan nań
panstwowym państwowym
przewidziec przewidzieć
urzedach urzędach
zapisal zapisał
wykazuja wykazują
osrodkiem ośrodkiem
ulegly uległy
poniosl poniósł
przyjemnoscia przyjemnością
sladu śladu
zakonczylo zakończyło
roznej różnej
sluzacych służących
dzialajac działając
nabyc nabyć
pojeciem pojęciem
zaleta zaletą
plazy plaży
prowadzaca prowadząca
scigania ścigania
umozliwiajace umożliwiające
usiluje usiłuje
wchodzacych wchodzących
zobaczyla zobaczyła
stacje stację
wykupic wykupić
miales miałeś
panskiego pańskiego
posluchac posłuchać
chcialoby chciałoby
ukonczenia ukończenia
wskaznika wskaźnika
zniszczyc zniszczyć
kacie kącie
odbywalo odbywało
zapytalem zapytałem
galezi gałęzi
grob grób
niezwykla niezwykłą
rola rolą
szkla szkła
wystepujace występujące
swietym świętym
dodala dodała
opisal opisał
przedstawiaja przedstawiają
przegrala przegrała
przestac przestać
szczesliwy szczęśliwy
odwage odwagę
powolana powołana
skadinad skądinąd
zdazyli zdążyli
gorace gorące
podeszla podeszła
wojcik wójcik
zaburzen zaburzeń
zwolnic zwolnić
popularnoscia popularnością
uklada układa
przekazala przekazała
dotyczacymi dotyczącymi
jakakolwiek jakąkolwiek
zmierzyc zmierzyć
zdac zdać
utrzymywac utrzymywać
piecdziesieciu pięćdziesięciu
dokladniej dokładniej
podaja podają
pracujac pracując
duzymi dużymi
sasiednich sąsiednich
szerokosci szerokości
zmierzajace zmierzające
bezplatnie bezpłatnie
wymyslil wymyślił
przegladarki przeglądarki
wojewodztwo województwo
przywodcow przywódców
wprowadzajac wprowadzając
zawierajacych zawierających
polozenia położenia
wykazal wykazał
obecna obecną
pasazerowie pasażerowie
pociaga pociąga
wysyla wysyła
dana daną
daje daję
rownych równych
tedy tędy
zielinski zieliński
poslanka posłanka
przerwac przerwać
wystepow występów
ciekawa ciekawą
wymog wymóg
zawodowa zawodową
rol ról
uwazany uważany
wywolalo wywołało
doprowadzilo doprowadziło
przecietnie przeciętnie
przekroczyl przekroczył
zdecydowac zdecydować
stope stopę
uzyskaly uzyskały
umyslu umysłu
domagal domagał
wyrazenia wyrażenia
obnizyc obniżyć
pozwolily pozwoliły
pytac pytać
kazala kazała
stazu stażu
czulam czułam
przekonywal przekonywał
terminow terminów
toczyla toczyła
zawdziecza zawdzięcza
przechodzac przechodząc
watpliwosc wątpliwość
przyszle przyszłe
sniadanie śniadanie
obciazenie obciążenie
uchylil uchylił
uplywu upływu
ustalil ustalił
bezwzglednej bezwzględnej
przyczyne przyczynę
rodza rodzą
odpowiadajac odpowiadając
zrobia zrobią
ogolna ogólna
zwyciezyla zwyciężyła
zyczenie życzenie
opowiedzialo opowiedziało
paryza paryża
promocje promocję
stajac stając
uzaleznione uzależnione
dabrowskiego dąbrowskiego
dotarly dotarły
zajelo zajęło
reprezentowal reprezentował
zawarl zawarł
zrobilismy zrobiliśmy
zywych żywych
pojechala pojechała
zyla żyła
bedaca będąca
stanelo stanęło
dawaly dawały
padaly padały
pokryc pokryć
poniesc ponieść
sformulowania sformułowania
zarabiaja zarabiają
wchodzac wchodząc
glupie głupie
niezbedna niezbędna
spotkaja spotkają
dojechac dojechać
jacys jacyś
przestaly przestały
data datą
dopuscil dopuścił
owczesnych ówczesnych
rozny różny
odwoluje odwołuje
przywodca przywódca
respondentow respondentów
samorzadowcy samorządowcy
laureatow laureatów
poczula poczuła
nawiazuje nawiązuje
przyczynic przyczynić
siostr sióstr
nienawisc nienawiść
skazal skazał
przestepczosci przestępczości
wplynely wpłynęły
zainteresowal zainteresował
minely minęły
swietne świetne
towarzysza towarzyszą
wlaczenie włączenie
padaja padają
krolem królem
panski pański
linia linią
jazde jazdę
miesni mięśni
podpisow podpisów
polecil polecił
powodowac powodować
zagrala zagrała
postepu postępu
zakladem zakładem
wycofac wycofać
aniol anioł
przyjetej przyjętej
swiatowy światowy
zglosili zgłosili
dziecinstwie dzieciństwie
narkotykow narkotyków
organizuja organizują
powodztwa powództwa
pasja pasją
pietnastu piętnastu
sporow sporów
zastapi zastąpi
inwestowac inwestować
ojcow ojców
pochylil pochylił
wziecia wzięcia
rosja rosją
wnosze wnoszę
konferencje konferencję
powiazania powiązania
zazalenia zażalenia
kanalow kanałów
wylaczeniem wyłączeniem
istniejacego istniejącego
rozlegl rozległ
rozliczen rozliczeń
zazalenie zażalenie
dotyczyl dotyczył
ktorejs którejś
obserwujac obserwując
odbywala odbywała
ubezpieczeniowa ubezpieczeniową
ustawic ustawić
wyplacane wypłacane
abys abyś
powaznego poważnego
uzywanych używanych
kolko kółko
palcow palców
powyzszym powyższym
kupilem kupiłem
odejscie odejście
slynnej słynnej
wolal wolał
zrob zrób
sadowego sądowego
dysponuja dysponują
staran starań
wspolpracownikow współpracowników
majacego mającego
naprzod naprzód
zalozeniu założeniu
dyzurny dyżurny
pozostawil pozostawił
fundacje fundację
kwota kwotą
gra grą
naturalna naturalną
diabel diabeł
dobor dobór
opanowac opanować
samolotow samolotów
trzymala trzymała
piatym piątym
pietro piętro
ujecia ujęcia
upowaznienia upoważnienia
pieniezne pieniężne
srody środy
wspolczesny współczesny
przedluzenie przedłużenie
wychodzil wychodził
pobrac pobrać
zdjal zdjął
powyzszego powyższego
odwrocila odwróciła
pil pił
zaprezentowac zaprezentować
nastepujacy następujący
bala bała
ksiezyc księżyc
podzielil podzielił
uslyszala usłyszała
otwarta otwartą
powstana powstaną
skinal skinął
wodki wódki
ladu ładu
reprezentowac reprezentować
wypelnione wypełnione
kwasniewskiego kwaśniewskiego
rzadowe rządowe
swiatowa światową
dlugow długów
smial śmiał
telewizje telewizję
prosta prostą
lesnej leśnej
uznala uznała
zaswiadczenia zaświadczenia
objecie objęcie
ponosza ponoszą
wyszly wyszły
zaczynala zaczynała
kat kąt
milosnicy miłośnicy
rozpoczynaja rozpoczynają
gdanskiego gdańskiego
sciagnac ściągnąć
zwlok zwłok
poszlam poszłam
przychodzil przychodził
radzic radzić
uciekac uciekać
dluznika dłużnika
powstawaly powstawały
dluzszej dłuższej
ogolnym ogólnym
ogolnopolskiej ogólnopolskiej
prawdopodobienstwo prawdopodobieństwo
usluge usługę
konczyl kończył
miedzyczasie międzyczasie
ksztaltuje kształtuje
uchwal uchwał
chodzila chodziła
dziekujemy dziękujemy
pamietaja pamiętają
pragna pragną
sluchajac słuchając
zajrzec zajrzeć
przyjda przyjdą
wloski włoski
wstepu wstępu
lozko łóżko
bledne błędne
rownosci równości
dolaczyl dołączył
murow murów
wybuchl wybuchł
formalnosci formalności
obejrzal obejrzał
rachunkowosci rachunkowości
skrzyzowanie skrzyżowanie
dotknal dotknął
sklonnosci skłonności
zasilki zasiłki
laczna łączna
owczesnej ówczesnej
gimnazjow gimnazjów
spodziewal spodziewał
zdolali zdołali
kosciolow kościołów
poszlismy poszliśmy
zapadl zapadł
zdzislawa zdzisława
dluzszym dłuższym
ocenil ocenił
prowadzacej prowadzącej
chetniej chętniej
mieszcza mieszczą
ksztaltu kształtu
uchwalil uchwalił
zwrocili zwrócili
laczenia łączenia
wieza wieża
sloncu słońcu
ksztaltowaniu kształtowaniu
obrotow obrotów
statkow statków
dazy dąży
slowacji słowacji
wiazac wiązać
wyglosil wygłosił
glebiej głębiej
zastanawialem zastanawiałem
doszla doszła
potrzebuje potrzebuję
przyciaga przyciąga
sprostac sprostać
zywnosc żywność
ograniczona ograniczoną
rzadowy rządowy
surowcow surowców
piesn pieśń
sroda środa
zaproponowala zaproponowała
noga nogą
uprawiac uprawiać
zniesc znieść
dolegliwosci dolegliwości
egzaminow egzaminów
sponsorow sponsorów
kwartal kwartał
przynioslo przyniosło
stanely stanęły
podwyzek podwyżek
siecia siecią
umiescil umieścił
zapraszaja zapraszają
towarzyszyly towarzyszyły
procedure procedurę
ulozyc ułożyć
zachowywac zachowywać
chodze chodzę
opublikowal opublikował
balem bałem
pamietal pamiętał
sfere sferę
sprowadzic sprowadzić
zobowiazanie zobowiązanie
zydowskich żydowskich
glosi głosi
wlascicielami właścicielami
traktowal traktował
podejsc podejść
podkreslaja podkreślają
gielda giełda
okolicznosc okoliczność
wiezien więzień
gornym górnym
nienawisci nienawiści
slabosc słabość
zrobily zrobiły
przeslanek przesłanek
rozkladu rozkładu
towarzyszyla towarzyszyła
zaskarzony zaskarżony
glownymi głównymi
najblizej najbliżej
wlaczyl włączył
znajdujacy znajdujący
dokola dokoła
doplat dopłat
patrzylem patrzyłem
przekroczyla przekroczyła
srodkach środkach
zaprosic zaprosić
rzeka rzeką
zapewnial zapewniał
jesien jesień
licze liczę
nowosci nowości
pozytywna pozytywną
sluszne słuszne
wykonywal wykonywał
wyrazenie wyrażenie
zasadnicza zasadniczą
gornego górnego
pomijajac pomijając
spolkach spółkach
srednicy średnicy
wyrwac wyrwać
kultura kulturą
oferta ofertą
przewiduja przewidują
wyroznienia wyróżnienia
zjezdzie zjeździe
oparl oparł
wzorow wzorów
analizujac analizując
zostawiajac zostawiając
obserwowal obserwował
zasmial zaśmiał
jadacy jadący
pokazywac pokazywać
poszczegolnymi poszczególnymi
tradycje tradycję
rog róg
zgloszen zgłoszeń
dazyc dążyć
sprzedaza sprzedażą
tamta tamtą
zaczne zacznę
slawomira sławomira
swiatu światu
chlopi chłopi
reakcje reakcję
ograniczac ograniczać
gralismy graliśmy
zywy żywy
ukradl ukradł
boguslawa bogusława
leczyc leczyć
uzywaja używają
zaleznie zależnie
doskonala doskonałą
latwy łatwy
odczytac odczytać
ogolu ogółu
uzywany używany
wplynal wpłynął
ludzkosci ludzkości
mowilismy mówiliśmy
formula formuła
latwoscia łatwością
obniza obniża
pozniejszym późniejszym
udzielac udzielać
lisci liści
swiadkowie świadkowie
pokaze pokaże
slynne słynne
prezentuja prezentują
zasilkow zasiłków
posluguje posługuje
strzaly strzały
ugrupowan ugrupowań
efektywnosc efektywność
krolowa królowa
przeczytal przeczytał
chrzescijanskiej chrześcijańskiej
cial ciał
montaz montaż
naklo nakło
siedzialem siedziałem
bezposredniej bezpośredniej
reklame reklamę
mieszkajacych mieszkających
swiatowym światowym
myslalam myślałam
przetrwac przetrwać
trzymaja trzymają
uzupelnienia uzupełnienia
zachowaly zachowały
zaleznosc zależność
snie śnie
wyrwal wyrwał
plaszczyznie płaszczyźnie
pojawiac pojawiać
rownym równym
niska niską
pojechalem pojechałem
wartosciowe wartościowe
myslach myślach
kaczynskiego kaczyńskiego
otwieraja otwierają
powaznej poważnej
stawke stawkę
odgrywaja odgrywają
planuja planują
przekazywac przekazywać
sluchaczy słuchaczy
spotkaly spotkały
glod głód
place płace
uzyl użył
pozegnanie pożegnanie
wspoldzialania współdziałania
zdal zdał
zesmy żeśmy
majatkowe majątkowe
plk płk
wyplata wypłata
zaplaca zapłacą
wymagac wymagać
lyzki łyżki
prosza proszą
zrozumial zrozumiał
poznanskiej poznańskiej
skorze skórze
bywal bywał
funkcja funkcją
herbate herbatę
jakbys jakbyś
dyskutowac dyskutować
prywatna prywatną
skrocie skrócie
tocza toczą
uzalezniona uzależniona
checia chęcią
przejela przejęła
robiac robiąc
spotkalo spotkało
spowodowaly spowodowały
uwolnic uwolnić
calkowity całkowity
ladna ładna
ogloszono ogłoszono
zielona zieloną
posluzyc posłużyć
sporzadzenia sporządzenia
sprawozdan sprawozdań
stawala stawała
bil bił
wroce wrócę
gornicy górnicy
rezysera reżysera
stracily straciły
wiarygodnosc wiarygodność
wystapien wystąpień
zagrozonych zagrożonych
odkryl odkrył
uwierzyc uwierzyć
walbrzych wałbrzych
wchodzil wchodził
zainteresowac zainteresować
godnosc godność
najlatwiej najłatwiej
nizszej niższej
butow butów
jasna jasną
poruszyl poruszył
zapalil zapalił
spowodowala spowodowała
zimna zimną
rozejrzal rozejrzał
zwiazkach związkach
interwencje interwencję
praktyke praktykę
skonczyly skończyły
ukaze ukaże
przyznaja przyznają
rezygnacje rezygnację
sygnalu sygnału
zasluguja zasługują
dokonczenie dokończenie
smiertelnie śmiertelnie
przelomu przełomu
zbieraja zbierają
interesujacych interesujących
przebywac przebywać
westchnal westchnął
niezly niezły
sygnalow sygnałów
idea ideą
orzekl orzekł
nieruchomosc nieruchomość
porzadnie porządnie
stawial stawiał
testow testów
rowny równy
zwyklej zwykłej
ksieza księża
przeciwdzialaniu przeciwdziałaniu
brame bramę
tworzacych tworzących
wiedzac wiedząc
zyciowe życiowe
ogladania oglądania
wyszedlem wyszedłem
cwierc ćwierć
pochodzacy pochodzący
potwierdzic potwierdzić
kieruje kieruję
wazniejszych ważniejszych
wydawaloby wydawałoby
wyprowadzic wyprowadzić
czysta czystą
siodmej siódmej
zdarzyc zdarzyć
wrazliwosc wrażliwość
strzelal strzelał
zakonczone zakończone
poznala poznała
przypadlo przypadło
zyskac zyskać
umiejetnie umiejętnie
obozow obozów
przeciwdzialania przeciwdziałania
przypomniala przypomniała
swiatecznej świątecznej
uwaga uwagą
pochodzic pochodzić
rezyserii reżyserii
szacunkow szacunków
wspolzycia współżycia
minela minęła
sportowcow sportowców
wejda wejdą
wylaczenia wyłączenia
sesje sesję
straznikow strażników
zasluga zasługa
dobe dobę
udowodnic udowodnić
zwiekszy zwiększy
dodatkow dodatków
wlozyl włożył
zwazywszy zważywszy
intencja intencją
niemalze niemalże
piosenke piosenkę
pozostawal pozostawał
jednosc jedność
obudzil obudził
przestalo przestało
szybe szybę
zainwestowac zainwestować
dwudziesta dwudziestą
miejscowosc miejscowość
pospiechu pośpiechu
wierza wierzą
skarzy skarży
hektarow hektarów
nalezacy należący
posle pośle
obowiazkowych obowiązkowych
sklania skłania
poswieca poświęca
pozostalosci pozostałości
widzielismy widzieliśmy
otrzymywac otrzymywać
zwiazani związani
prawidlowe prawidłowe
autobusow autobusów
budzil budził
biezacej bieżącej
braly brały
odkryc odkryć
wysilkiem wysiłkiem
golym gołym
oznaczaloby oznaczałoby
przekraczac przekraczać
wizyta wizytą
pietra piętra
stawic stawić
umiala umiała
zglaszaja zgłaszają
jakimis jakimiś
zejsc zejść
zmeczony zmęczony
splate spłatę
zadawac zadawać
zatrudnic zatrudnić
odleglych odległych
skarza skarżą
bac bać
majacym mającym
polegajaca polegającą
przeslac przesłać
zabojstwo zabójstwo
interesujacy interesujący
przesuniecie przesunięcie
osmej ósmej
piora pióra
proponowal proponował
prozno próżno
trwalego trwałego
wywoluja wywołują
przygotowaly przygotowały
pomogla pomogła
uzupelnic uzupełnić
zdobywajac zdobywając
piatego piątego
wzroscie wzroście
wlochy włochy
wspanialym wspaniałym
czestochowy częstochowy
wyslano wysłano
akcja akcją
cieply ciepły
doczekac doczekać
dziwie dziwię
opoznienia opóźnienia
oswiadczeniu oświadczeniu
pokladzie pokładzie
niemiecka niemiecką
pozwalal pozwalał
przemysle przemyśle
wiarygodnosci wiarygodności
osrodkach ośrodkach
posiedzen posiedzeń
stojace stojące
zgodnosc zgodność
znalazlam znalazłam
okresow okresów
dowiedzialam dowiedziałam
reforme reformę
srodowiskiem środowiskiem
wydawaly wydawały
utrzymal utrzymał
wyrazna wyraźną
goscia gościa
przypominac przypominać
trenerow trenerów
zalozyli założyli
oszczedzania oszczędzania
gotowosci gotowości
poznanskiego poznańskiego
skierowala skierowała
wytworni wytwórni
zwiazanym związanym
zonie żonie
liczyla liczyła
poszukac poszukać
zauwazyla zauważyła
nastepstwie następstwie
debate debatę
konstytucja konstytucją
reszta resztą
stowarzyszen stowarzyszeń
wydarzylo wydarzyło
zwroci zwróci
podziekowania podziękowania
spi śpi
losow losów
zajmujace zajmujące
powtarzac powtarzać
spiewac śpiewać
szerokosc szerokość
gleboka głęboką
przykladu przykładu
